uuid,link,title,price,sku,details,image,image_url,breeder,length_inches,tags
5946da,https://www.grandkoi.com/product/shusui-a6963/,Shusui,"$5,999.00",A6963,"['Breeder: Maruhiro', 'Inches: 25.6']",grandkoi_data/5946da_Shusui.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/2-QT1-SKU5754-24inches-Retaken-300x450.jpg,Maruhiro,25.0,['Shusui']
ab9fa6,https://www.grandkoi.com/product/doitsu-maruten-a6962/,Doitsu Maruten Showa,"$10,999.00",A6962,"['Breeder: Koda', 'Inches: 28']",grandkoi_data/ab9fa6_Doitsu Maruten Showa.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/6-QT1-SKU6025-28inches-Retaken-300x450.jpg,Koda,28.0,"['Doitsu', 'Maruten', 'Showa']"
d17073,https://www.grandkoi.com/product/doitsu-showa-a6961/,Doitsu Showa,"$12,999.00",A6961,"['Breeder: Koda', 'Inches: 27']",grandkoi_data/d17073_Doitsu Showa.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/4-QT1-SKU6023-27inches-Retaken-300x450.jpg,Koda,27.0,"['Doitsu', 'Showa']"
eb4d0f,https://www.grandkoi.com/product/beni-kikokuryu-a6959/,Beni Kikokuryu,"$5,999.00Original price was: $5,999.00.$4,999.00Current price is: $4,999.00.",A6959,"['Breeder: Miyatora', 'Inches: 28.5']",grandkoi_data/eb4d0f_Beni Kikokuryu.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/8-QT1-SKU_-28.5inches-Retaken-300x450.jpg,Miyatora,28.0,"['Beni', 'Kikokuryu']"
fd4e69,https://www.grandkoi.com/product/doitsu-kigoi-a6956/,Doitsu Kigoi,"$11,999.00",A6956,"['Breeder: Konishi', 'Inches: 32']",grandkoi_data/fd4e69_Doitsu Kigoi.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/1-QT1-SKU5923-28inches-Retaken　psd-300x450.jpg,Konishi,32.0,"['Doitsu', 'Kigoi']"
081326,https://www.grandkoi.com/product/maruten-kohaku-a6955/,Maruten Kohaku,"$12,999.00",A6955,"['Breeder: Momotaro', 'Inches: 28']",grandkoi_data/081326_Maruten Kohaku.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/13-T3-SKU6559-28inches-Retaken-300x450.jpg,Momotaro,28.0,"['Maruten', 'Kohaku']"
ca6625,https://www.grandkoi.com/product/showa-226/,Showa,"$8,999.00",A6954,"['Breeder: Momotaro', 'Inches: 29']",grandkoi_data/ca6625_Showa.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/12-T3-SKU6556-28.5inches-Retaken-300x450.jpg,Momotaro,29.0,['Showa']
e52511,https://www.grandkoi.com/product/tancho-sanke-a6951/,Tancho sanke,"$12,999.00",A6951,"['Breeder: Koda', 'Inches: 30.5']",grandkoi_data/e52511_Tancho sanke.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/7-T3-SKU6338-28inches-Retaken-300x450.jpg,Koda,30.0,"['Tancho', 'sanke']"
1e0e56,https://www.grandkoi.com/product/showa-a6949/,Showa,"$11,999.00",A6949,"['Breeder: Isa', 'Inches: 31']",grandkoi_data/1e0e56_Showa.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/5-T3-SKU6042-30.5inches-Retaken-300x450.jpg,Isa,31.0,['Showa']
1a5557,https://www.grandkoi.com/product/sanke-a6948/,Sanke,"$8,999.00",A6948,"['Breeder: Miyatora', 'Inches: 31']",grandkoi_data/1a5557_Sanke.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/4-T3-SKU6072-31inches-Retaken-300x450.jpg,Miyatora,31.0,['Sanke']
63684b,https://www.grandkoi.com/product/showa-a6947/,Showa- SOLD,,A6947,"['Breeder: Koda', 'Inches: 29']",grandkoi_data/63684b_Showa- SOLD.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/3-T3-SKUnone-29inches-Retaken-300x450.jpg,Koda,29.0,['Showa']
7db0c3,https://www.grandkoi.com/product/gin-rin-ochiba-a6946/,Gin Rin Ochiba,"$8,999.00",A6946,"['Breeder: Koda', 'Inches: 29']",grandkoi_data/7db0c3_Gin Rin Ochiba.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/1-T3-SKUnone-29inches-Retaken-1-300x450.jpg,Koda,29.0,"['Gin', 'Rin', 'Ochiba']"
1d7398,https://www.grandkoi.com/product/kohaku-6943/,Kohaku,"$19,999.00",6943,"['Breeder: Momotaro', 'Inches: 30']",grandkoi_data/1d7398_Kohaku.jpg,https://www.grandkoi.com/wp-content/uploads/2022/05/6-T3-Kohaku-30in-12999-300x450.jpg,Momotaro,30.0,['Kohaku']
