,link,title,category,out_of_stock,price,sku,image,image_url
f8418a,https://sacramentokoi.com/asagi-14-240054183/,Asagi 14″ – 240054183,Asagi,True,$250.00,240054183,sacramentokoi_data/f8418a_Asagi_14″_–_240054183.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054183-1-247x437.jpg
85ce7a,https://sacramentokoi.com/asagi-16-240145127/,Asagi 16″ – 240145127,Asagi,True,$450.00,240145127,sacramentokoi_data/85ce7a_Asagi_16″_–_240145127.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240145127-2.jpg
cbf20b,https://sacramentokoi.com/asagi-17-240234151/,Asagi 17″ – 240234151,Asagi,True,$700.00,240234151,sacramentokoi_data/cbf20b_Asagi_17″_–_240234151.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240234151-2.jpg
71065f,https://sacramentokoi.com/asagi-18-240154119/,Asagi 18″ – 240154119,Asagi,True,$450.00,240154119,sacramentokoi_data/71065f_Asagi_18″_–_240154119.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154119-2.jpg
9b0387,https://sacramentokoi.com/asagi-18-240247140/,Asagi 18″ – 240247140,Asagi,False,$750.00,240247140,sacramentokoi_data/9b0387_Asagi_18″_–_240247140.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240247140-2.jpg
40f938,https://sacramentokoi.com/asagi-20-240464157/,Asagi 20″ – 240464157,Asagi,True,"$1,100.00",240464157,sacramentokoi_data/40f938_Asagi_20″_–_240464157.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240464157-2.jpg
487b5e,https://sacramentokoi.com/beni-ginga-13-240118075/,Beni Ginga 13″ – 240118075,Ginga,True,$425.00,240118075,sacramentokoi_data/487b5e_Beni_Ginga_13″_–_240118075.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240118075-2.jpg
d1c113,https://sacramentokoi.com/beni-ginga-16-240154397/,Beni Ginga 16″ – 240154397,Aokiya,True,$850.00,240154397,sacramentokoi_data/d1c113_Beni_Ginga_16″_–_240154397.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154397-2.jpg
67bb0f,https://sacramentokoi.com/beni-ginga-16-240287393/,Beni Ginga 16″ – 240287393,Aokiya,True,$950.00,240287393,sacramentokoi_data/67bb0f_Beni_Ginga_16″_–_240287393.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240287393-2.jpg
f35291,https://sacramentokoi.com/beni-hajiro-15-240154401/,Beni Hajiro 15″ – 240154401,Aokiya,True,$400.00,240154401,sacramentokoi_data/f35291_Beni_Hajiro_15″_–_240154401.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154401-2.jpg
914979,https://sacramentokoi.com/beni-kikokuryu-15-240154408/,Beni Kikokuryu 15″ – 240154408,Aokiya,False,$650.00,240154408,sacramentokoi_data/914979_Beni_Kikokuryu_15″_–_240154408.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154408-2.jpg
4df1b7,https://sacramentokoi.com/beni-kikokuryu-20-240422291/,Beni Kikokuryu 20″ – 240422291,Kikokuryu,False,"$1,600.00",240422291,sacramentokoi_data/4df1b7_Beni_Kikokuryu_20″_–_240422291.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240422291-2.jpg
edc8ed,https://sacramentokoi.com/beni-kikokuryu-22-240368023/,Beni Kikokuryu 22″ – 240368023,Kikokuryu,True,$850.00,240368023,sacramentokoi_data/edc8ed_Beni_Kikokuryu_22″_–_240368023.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240368023-2.jpg
413db7,https://sacramentokoi.com/beni-kikokuryu-23-210000298/,Beni Kikokuryu 23″ – 210000298,Kikokuryu,True,"$1,800.00",210000298,sacramentokoi_data/413db7_Beni_Kikokuryu_23″_–_210000298.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/210000298-1-247x437.jpg
d800c9,https://sacramentokoi.com/beni-kikokuryu-24-220685198/,Beni Kikokuryu 24″ – 220685198,Kaneko,False,"$1,800.00",220685198,sacramentokoi_data/d800c9_Beni_Kikokuryu_24″_–_220685198.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/220685198-247x439.jpg
edd65e,https://sacramentokoi.com/beni-kumonryu-14-240154400/,Beni Kumonryu 14″ – 240154400,Aokiya,False,$475.00,240154400,sacramentokoi_data/edd65e_Beni_Kumonryu_14″_–_240154400.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154400-2.jpg
b76ba2,https://sacramentokoi.com/beni-kumonryu-15-240154407/,Beni Kumonryu 15″ – 240154407,Aokiya,True,$425.00,240154407,sacramentokoi_data/b76ba2_Beni_Kumonryu_15″_–_240154407.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154407-2.jpg
e92fb9,https://sacramentokoi.com/beni-kumonryu-15-240154409/,Beni Kumonryu 15″ – 240154409,Aokiya,True,$325.00,240154409,sacramentokoi_data/e92fb9_Beni_Kumonryu_15″_–_240154409.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154409-2.jpg
cea9ef,https://sacramentokoi.com/beni-kumonryu-15-240154410/,Beni Kumonryu 15″ – 240154410,Aokiya,True,$325.00,240154410,sacramentokoi_data/cea9ef_Beni_Kumonryu_15″_–_240154410.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154410-2.jpg
108803,https://sacramentokoi.com/benigoi-19-240210264/,Benigoi 19″ – 240210264,Benigoi,True,$625.00,240210264,sacramentokoi_data/108803_Benigoi_19″_–_240210264.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240210264-2.jpg
34d03c,https://sacramentokoi.com/benigoi-20-240210263/,Benigoi 20″ – 240210263,Benigoi,True,$650.00,240210263,sacramentokoi_data/34d03c_Benigoi_20″_–_240210263.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240210263-2.jpg
b87238,https://sacramentokoi.com/chagoi-11-240054191/,Chagoi 11″ – 240054191,Chagoi,True,$150.00,240054191,sacramentokoi_data/b87238_Chagoi_11″_–_240054191.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054191-1-247x437.jpg
ddae25,https://sacramentokoi.com/chagoi-15-240054194/,Chagoi 15″ – 240054194,Chagoi,True,$250.00,240054194,sacramentokoi_data/ddae25_Chagoi_15″_–_240054194.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054194-1-247x437.jpg
87765e,https://sacramentokoi.com/chagoi-15-240155002/,Chagoi 15″ – 240155002,Chagoi,True,$375.00,240155002,sacramentokoi_data/87765e_Chagoi_15″_–_240155002.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240155002-2.jpg
5c1368,https://sacramentokoi.com/chagoi-16-240155003/,Chagoi 16″ – 240155003,Chagoi,True,$375.00,240155003,sacramentokoi_data/5c1368_Chagoi_16″_–_240155003.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240155003-2.jpg
